Family,Species,Genus,Epithet,Author(s),Status,UsageID,Tax source,Reference I,Reference II,Reference III,Hemi,,,
Apocynaceae,Hoya acuminata,Hoya,acuminata,(Wight) Benth. ex Hook.f.,accepted,wfo-0001102096,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya acuta,Hoya,acuta,Haw.,ambiguous,wfo-0000725118,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya aeschynanthoides,Hoya,aeschynanthoides,Schltr.,ambiguous,wfo-0000725119,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya alexicaca,Hoya,alexicaca,(Jacq.) Moon,accepted,wfo-0001104312,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya anulata,Hoya,anulata,Schltr.,ambiguous,wfo-0000725133,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya archboldiana,Hoya,archboldiana,C.Norman,ambiguous,wfo-0000725137,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya arnottiana,Hoya,arnottiana,Wight,ambiguous,wfo-0000725139,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya australis,Hoya,australis,R.Br. ex Traill,accepted,wfo-0000725141,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya baishaensis,Hoya,baishaensis,S.Y.He & P.T.Li,ambiguous,wfo-0000744060,wfo,He et al. (2009b),,,,,,
Apocynaceae,Hoya bakoensis,Hoya,bakoensis,Rodda,,,powo,Rodda (2015),,,,,,
Apocynaceae,Hoya beccarii,Hoya,beccarii,Rodda & Simonsson,,,powo,WCSP (2019),,,,,,
Apocynaceae,Hoya benguetensis,Hoya,benguetensis,Schltr.,ambiguous,wfo-0000725146,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya bilobata,Hoya,bilobata,Schltr.,ambiguous,wfo-0000725154,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya bordenii,Hoya,bordenii,Schltr.,ambiguous,wfo-0000725157,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya brevialata,Hoya,brevialata,Kleijn & Donkelaar,ambiguous,wfo-0000725158,wfo,Kleijn and Van Donkelaar (2001),,,,,,
Apocynaceae,Hoya brittonii,Hoya,brittonii,Kloppenb.,ambiguous,wfo-0000725159,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya bulusanensis,Hoya,bulusanensis,Elmer,ambiguous,wfo-0000725164,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya burmanica,Hoya,burmanica,Rolfe,ambiguous,wfo-0000725166,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya burtoniae,Hoya,burtoniae,Kloppenb.,ambiguous,wfo-0000725167,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya campanulata,Hoya,campanulata,Blume,ambiguous,wfo-0000725173,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya cardiophylla,Hoya,cardiophylla,Merr.,ambiguous,wfo-0000725175,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya carnosa,Hoya,carnosa,(L.f.) R.Br.,accepted,wfo-0000725176,wfo,Kloppenburg (2004),Flora of China (2008),,,,,
Apocynaceae,Hoya caudata,Hoya,caudata,Hook.f.,ambiguous,wfo-0000725177,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya cembra,Hoya,cembra,Kloppenb.,ambiguous,wfo-0000725180,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya chinghungensis,Hoya,chinghungensis,(Tsiang & P.T.Li) M.G.Gilbert,,,,,,,,,,
Apocynaceae,Hoya collina,Hoya,collina,Schltr.,ambiguous,wfo-0000725194,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya commutata,Hoya,commutata,M.G.Gilbert & P.T.Li,accepted,wfo-0000725197,wfo,Flora of China (2008),,,,,,
Apocynaceae,Hoya corneri,Hoya,corneri,Rodda & S.Rahayu,,,powo,WCSP (2019),,,,,,
Apocynaceae,Hoya coronaria,Hoya,coronaria,Blume,ambiguous,wfo-0000725202,wfo,Chong et al. (2009),,,,,,
Apocynaceae,Hoya crassicaulis,Hoya,crassicaulis,Elmer ex Kloppenb.,ambiguous,wfo-0000725204,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya crassior,Hoya,crassior,Hochr.,ambiguous,wfo-0000725205,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya cumingiana,Hoya,cumingiana,Decne.,ambiguous,wfo-0000725208,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya curtisii,Hoya,curtisii,King & Gamble,ambiguous,wfo-0000725210,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya dalrympliana,Hoya,dalrympliana,F.Muell.,ambiguous,wfo-0000725212,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya danumensis,Hoya,danumensis,Rodda & Nyhuus,ambiguous,wfo-0000746650,wfo,Rodda and Nyhuus (2009),,,,,,
Apocynaceae,Hoya dasyantha,Hoya,dasyantha,Tsiang,accepted,wfo-0000725214,wfo,Kloppenburg (2004),Flora of China (2008),,,,,
Apocynaceae,Hoya davidcummingii,Hoya,davidcummingii,Kloppenb.,ambiguous,wfo-0000725215,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya dennisii,Hoya,dennisii,P.I.Forst. & Liddle,ambiguous,wfo-0000725216,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya dickasoniana,Hoya,dickasoniana,P.T.Li,ambiguous,wfo-0000725220,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya dischorensis,Hoya,dischorensis,Schltr.,ambiguous,wfo-0000725224,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya diversifolia,Hoya,diversifolia,Blume,ambiguous,wfo-0000725225,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya dolichosparte,Hoya,dolichosparte,Schltr.,ambiguous,wfo-0000725228,wfo,Kloppenburg (2004),Schlechter (1916),,,,,
Apocynaceae,Hoya eitapensis,Hoya,eitapensis,Schltr.,ambiguous,wfo-0000725231,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya elliptica,Hoya,elliptica,Hook.f.,ambiguous,wfo-0000725234,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya elmeri,Hoya,elmeri,Merr.,ambiguous,wfo-0000725235,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya el-nidicus,Hoya,el-nidicus,Kloppenb.,ambiguous,wfo-0000725236,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya endauensis,Hoya,endauensis,Kiew,ambiguous,wfo-0000725238,wfo,Kloppenburg (2004),Kiew (1989),,,,,
Apocynaceae,Hoya engleriana,Hoya,engleriana,Hosseus,ambiguous,wfo-0000725239,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya epedunculata,Hoya,epedunculata,Schltr.,ambiguous,wfo-0000725240,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya erythrina,Hoya,erythrina,Rintz,ambiguous,wfo-0000725241,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya fauziana,Hoya,fauziana,Rodda,,,,,,,,,,
Apocynaceae,Hoya finlaysonii,Hoya,finlaysonii,Wight,ambiguous,wfo-0000725250,wfo,Chong et al. (2009),,,,,,
Apocynaceae,Hoya flagellata,Hoya,flagellata,Kerr,ambiguous,wfo-0000725252,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya flavescens,Hoya,flavescens,Schltr.,ambiguous,wfo-0000725253,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya flavida,Hoya,flavida,P.I.Forst. & Liddle,ambiguous,wfo-0000725254,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya forbesii,Hoya,forbesii,King & Gamble,ambiguous,wfo-0000725255,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya fungii,Hoya,fungii,Merr.,accepted,wfo-0000725258,wfo,Flora of China (2008),,,,,,
Apocynaceae,Hoya fusca,Hoya,fusca,Wall.,accepted,wfo-0000725259,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya gigantanganensis,Hoya,gigantanganensis,Kloppenb.,ambiguous,wfo-0000725261,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya glabra,Hoya,glabra,Schltr.,ambiguous,wfo-0000725264,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya globulosa,Hoya,globulosa,Hook.f.,ambiguous,wfo-0000725269,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya gracilipes,Hoya,gracilipes,Schltr.,ambiguous,wfo-0000725273,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya gracilis,Hoya,gracilis,Schltr.,ambiguous,wfo-0000725274,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya greenii,Hoya,greenii,Kloppenb.,ambiguous,wfo-0000725276,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya griffithii,Hoya,griffithii,Hook.f.,accepted,wfo-0000725279,wfo,Flora of China (2008),,,,,,
Apocynaceae,Hoya halophila,Hoya,halophila,Schltr.,ambiguous,wfo-0000725284,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya heuschkeliana,Hoya,heuschkeliana,Kloppenb.,ambiguous,wfo-0000725288,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya hypolasia,Hoya,hypolasia,Schltr.,ambiguous,wfo-0000725291,wfo,Wanntorp and Forster (2007),,,,,,
Apocynaceae,Hoya ignorata,Hoya,ignorata,T.B.Tran,,,,,,,,,,
Apocynaceae,Hoya ilagii,Hoya,ilagii,Kloppenburg,,,,,,,,,,
Apocynaceae,Hoya imbricata,Hoya,imbricata,Decne.,ambiguous,wfo-0000725293,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya imperialis,Hoya,imperialis,Lindl.,accepted,wfo-0000725294,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya inconspicua,Hoya,inconspicua,Hemsl.,ambiguous,wfo-0000725295,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya incurvula,Hoya,incurvula,Schltr.,ambiguous,wfo-0000725297,wfo,Schlechter (1916),Kloppenburg (2004),,,,,
Apocynaceae,Hoya inflata,Hoya,inflata,(P.I.Forst.,,,,,,,,,,
Apocynaceae,Hoya jianfenglingensis,Hoya,jianfenglingensis,S.Y.He & P.T.Li,ambiguous,wfo-0001043609,wfo,He et al. (2011),,,,,,
